ReservationID,PaymentTypeID,PaymentDate,PaymentAmount
100000000,3,3/15/2023,1074
100000001,4,9/13/2023,896
100000002,4,11/5/2023,155
100000003,4,12/31/2023,1048
100000004,2,10/1/2023,1224
100000005,1,5/22/2023,148
100000006,1,4/29/2023,266
100000007,2,5/3/2023,1050
100000008,2,11/10/2023,1605
100000009,3,10/10/2023,948
100000010,3,5/15/2023,184
100000011,4,7/14/2023,558
100000012,4,1/19/2023,582
100000013,4,10/9/2023,524
100000014,1,4/22/2023,902
100000015,5,4/17/2023,834
100000016,1,3/2/2023,1077
100000017,1,8/27/2023,232
100000018,2,1/17/2023,408
100000019,3,1/8/2023,457
100000020,4,7/24/2023,447
100000021,1,7/22/2023,543
100000022,5,6/11/2023,1521
100000023,5,5/24/2023,1572
100000024,4,5/24/2023,177
100000025,5,12/20/2023,239
100000026,5,10/30/2023,552
100000027,4,5/4/2023,1260
100000028,1,5/12/2023,1040
100000029,5,12/10/2023,1656
100000030,3,5/19/2023,414
100000031,3,12/23/2023,1528
100000032,1,3/18/2023,254
100000033,2,12/19/2023,990
100000034,5,11/8/2023,485
100000035,2,4/8/2023,2008
100000036,1,9/23/2023,960
100000037,1,4/10/2023,1208
100000038,2,10/2/2023,1272
100000039,1,10/4/2023,328
100000040,5,6/6/2023,175
100000041,3,12/23/2023,186
100000042,4,4/15/2023,884
100000043,2,9/16/2023,155
100000044,5,1/12/2023,1407
100000045,5,4/24/2023,214
100000046,1,10/27/2023,300
100000047,2,1/25/2023,2028
100000048,4,1/27/2023,588
100000049,1,6/27/2023,299
100000050,5,3/11/2023,2148
100000051,3,11/17/2023,384
100000052,5,11/10/2023,753
100000053,2,11/18/2023,1312
100000054,5,3/22/2023,1074
100000055,2,7/11/2023,1599
100000056,3,1/11/2023,280
100000057,4,9/13/2023,1416
100000058,4,6/28/2023,318
100000059,2,4/23/2023,872
100000060,4,7/3/2023,2040
100000061,2,2/12/2023,1796
100000062,1,1/22/2023,276
100000063,4,10/6/2023,179
100000064,4,3/27/2023,411
100000065,4,4/2/2023,567
100000066,5,7/8/2023,776
100000067,4,3/8/2023,302
100000068,2,9/10/2023,200
100000069,5,7/15/2023,476
100000070,4,12/12/2023,372
100000071,4,4/10/2023,437
100000072,1,11/17/2023,231
100000073,3,3/26/2023,1204
100000074,2,7/11/2023,597
100000075,4,6/4/2023,1062
100000076,2,7/1/2023,1090
100000077,3,12/14/2023,1756
100000078,1,2/23/2023,238
100000079,5,5/5/2023,960
100000080,3,8/10/2023,1480
100000081,2,10/24/2023,331
100000082,3,9/11/2023,810
100000083,2,8/8/2023,450
100000084,5,1/31/2023,1676
100000085,4,6/9/2023,330
100000086,1,12/9/2023,362
100000087,1,2/24/2023,1076
100000088,5,12/10/2023,132
100000089,2,8/27/2023,588
100000090,1,6/27/2023,987
100000091,5,8/6/2023,1101
100000092,3,2/25/2023,164
100000093,2,11/4/2023,1428
100000094,5,11/14/2023,981
100000095,4,7/7/2023,301
100000096,5,6/25/2023,784
100000097,5,10/10/2023,1808
100000098,1,9/18/2023,918
100000099,3,6/17/2023,447
100000100,5,3/28/2023,138
100000101,1,10/3/2023,402
100000102,5,1/21/2023,664
100000103,2,10/7/2023,478
100000104,1,8/7/2023,488
100000105,1,6/27/2023,812
100000106,4,9/15/2023,409
100000107,1,9/9/2023,489
100000108,3,6/27/2023,438
100000109,5,9/21/2023,590
100000110,5,8/7/2023,1540
100000111,4,4/8/2023,512
100000112,3,5/14/2023,402
100000113,3,2/18/2023,242
100000114,3,10/12/2023,353
100000115,3,4/4/2023,972
100000116,4,11/27/2023,858
100000117,1,1/13/2023,462
100000118,4,3/7/2023,1128
100000119,4,5/2/2023,376
100000120,3,4/16/2023,1920
100000121,5,9/27/2023,1074
100000122,4,1/20/2023,1092
100000123,3,4/17/2023,1485
100000124,4,2/2/2023,632
100000125,2,2/3/2023,790
100000126,1,3/28/2023,146
100000127,5,1/30/2023,296
100000128,2,4/26/2023,296
