ReservationDetailID,ReservationID,RoomTypeID,Record_Rate,OrderQty
100000000,100000000,4,537,2
100000001,100000001,1,224,4
100000002,100000002,2,155,1
100000003,100000003,1,524,2
100000004,100000004,2,306,4
100000005,100000005,5,148,1
100000006,100000006,3,266,1
100000007,100000007,3,350,3
100000008,100000008,4,535,3
100000009,100000009,4,237,4
100000010,100000010,1,184,1
100000011,100000011,5,279,2
100000012,100000012,1,291,2
100000013,100000013,2,524,1
100000014,100000014,4,451,2
100000015,100000015,2,417,2
100000016,100000016,2,359,3
100000017,100000017,4,116,2
100000018,100000018,5,136,3
100000019,100000019,3,457,1
100000020,100000020,5,149,3
100000021,100000021,3,181,3
100000022,100000022,4,507,3
100000023,100000023,5,524,3
100000024,100000024,2,177,1
100000025,100000025,5,239,1
100000026,100000026,4,276,2
100000027,100000027,5,315,4
100000028,100000028,4,520,2
100000029,100000029,2,414,4
100000030,100000030,5,207,2
100000031,100000031,1,382,4
100000032,100000032,5,254,1
100000033,100000033,1,330,3
100000034,100000034,5,485,1
100000035,100000035,3,502,4
100000036,100000036,1,320,3
100000037,100000037,3,302,4
100000038,100000038,2,318,4
100000039,100000039,2,164,2
100000040,100000040,4,175,1
100000041,100000041,3,186,1
100000042,100000042,4,221,4
100000043,100000043,4,155,1
100000044,100000044,4,469,3
100000045,100000045,4,214,1
100000046,100000046,4,150,2
100000047,100000047,3,507,4
100000048,100000048,2,294,2
100000049,100000049,1,299,1
100000050,100000050,2,537,4
100000051,100000051,2,384,1
100000052,100000052,3,251,3
100000053,100000053,3,328,4
100000054,100000054,3,358,3
100000055,100000055,2,533,3
100000056,100000056,5,140,2
100000057,100000057,1,472,3
100000058,100000058,4,106,3
100000059,100000059,3,436,2
100000060,100000060,2,510,4
100000061,100000061,4,449,4
100000062,100000062,4,138,2
100000063,100000063,2,179,1
100000064,100000064,5,137,3
100000065,100000065,4,189,3
100000066,100000066,2,388,2
100000067,100000067,2,302,1
100000068,100000068,4,200,1
100000069,100000069,5,238,2
100000070,100000070,5,372,1
100000071,100000071,2,437,1
100000072,100000072,1,231,1
100000073,100000073,2,301,4
100000074,100000074,3,199,3
100000075,100000075,4,531,2
100000076,100000076,1,545,2
100000077,100000077,2,439,4
100000078,100000078,3,238,1
100000079,100000079,4,240,4
100000080,100000080,5,370,4
100000081,100000081,3,331,1
100000082,100000082,3,270,3
100000083,100000083,5,450,1
100000084,100000084,3,419,4
100000085,100000085,4,330,1
100000086,100000086,4,181,2
100000087,100000087,4,538,2
100000088,100000088,2,132,1
100000089,100000089,3,147,4
100000090,100000090,1,329,3
100000091,100000091,1,367,3
100000092,100000092,1,164,1
100000093,100000093,5,357,4
100000094,100000094,3,327,3
100000095,100000095,3,301,1
100000096,100000096,4,196,4
100000097,100000097,5,452,4
100000098,100000098,2,306,3
100000099,100000099,4,447,1
100000100,100000100,3,138,1
100000101,100000101,1,402,1
100000102,100000102,2,332,2
100000103,100000103,2,478,1
100000104,100000104,1,122,4
100000105,100000105,2,406,2
100000106,100000106,1,409,1
100000107,100000107,1,489,1
100000108,100000108,1,219,2
100000109,100000109,2,295,2
100000110,100000110,3,385,4
100000111,100000111,5,512,1
100000112,100000112,4,201,2
100000113,100000113,5,121,2
100000114,100000114,3,353,1
100000115,100000115,3,324,3
100000116,100000116,1,429,2
100000117,100000117,3,231,2
100000118,100000118,1,282,4
100000119,100000119,2,188,2
100000120,100000120,4,480,4
100000121,100000121,5,358,3
100000122,100000122,1,273,4
100000123,100000123,4,495,3
100000124,100000124,4,158,4
100000125,100000125,3,395,2
100000126,100000126,2,146,1
100000127,100000127,3,148,2
100000128,100000128,4,296,1
100000129,100000129,3,152,3
100000130,100000130,3,145,3
100000131,100000131,3,257,2
100000132,100000132,4,428,3
100000133,100000133,3,416,1
100000134,100000134,2,351,4
100000135,100000135,3,404,1
100000136,100000136,3,217,2
100000137,100000137,4,119,3
100000138,100000138,1,142,3
100000139,100000139,3,487,1
100000140,100000140,2,407,4
100000141,100000141,5,529,2
100000142,100000142,1,297,2
100000143,100000143,5,168,4
100000144,100000144,4,515,3
100000145,100000145,4,365,4
100000146,100000146,2,500,3
100000147,100000147,4,527,3
100000148,100000148,4,191,1
100000149,100000149,4,379,4
100000150,100000150,4,245,4
100000151,100000151,4,146,1
100000152,100000152,2,515,1
100000153,100000153,1,513,1
100000154,100000154,4,188,3
100000155,100000155,1,267,2
100000156,100000156,5,267,3
100000157,100000157,2,419,3
100000158,100000158,4,376,3
100000159,100000159,3,401,1
100000160,100000160,1,490,3
100000161,100000161,2,176,2
100000162,100000162,4,444,3
100000163,100000163,3,540,3
100000164,100000164,3,160,2
100000165,100000165,3,244,1
100000166,100000166,2,541,1
100000167,100000167,5,383,4
100000168,100000168,1,244,1
100000169,100000169,2,289,2
100000170,100000170,3,392,1
100000171,100000171,5,364,4
100000172,100000172,3,111,2
100000173,100000173,5,439,3
100000174,100000174,2,277,4
100000175,100000175,4,332,2
100000176,100000176,5,439,4
100000177,100000177,2,433,1
100000178,100000178,4,369,2
100000179,100000179,5,484,1
100000180,100000180,5,485,1
100000181,100000181,4,465,1
100000182,100000182,1,374,1
100000183,100000183,3,127,2
100000184,100000184,2,350,2
100000185,100000185,2,308,1
100000186,100000186,2,419,3
100000187,100000187,1,360,1
100000188,100000188,1,145,2
100000189,100000189,5,206,1
100000190,100000190,5,421,2
100000191,100000191,3,182,4
100000192,100000192,4,434,4
100000193,100000193,3,247,1
100000194,100000194,2,484,3
100000195,100000195,4,395,3
100000196,100000196,2,188,2
100000197,100000197,4,193,3
100000198,100000198,2,517,2
100000199,100000199,5,449,1
100000200,100000200,2,228,4
100000201,100000201,4,189,4
100000202,100000202,4,339,4
100000203,100000203,5,203,2
100000204,100000204,3,248,4
100000205,100000205,4,443,3
100000206,100000206,1,175,2
100000207,100000207,4,296,3
100000208,100000208,3,157,2
100000209,100000209,3,253,3
100000210,100000210,4,530,2
100000211,100000211,2,455,1
100000212,100000212,4,131,4
100000213,100000213,3,433,2
100000214,100000214,4,352,1
100000215,100000215,5,511,4
100000216,100000216,5,282,4
100000217,100000217,5,434,1
100000218,100000218,2,238,2
100000219,100000219,2,281,4
100000220,100000220,2,422,4
100000221,100000221,1,334,3
100000222,100000222,4,182,1
100000223,100000223,5,408,4
100000224,100000224,2,533,2
100000225,100000225,1,376,1
100000226,100000226,2,449,3
100000227,100000227,3,316,2
100000228,100000228,4,210,2
100000229,100000229,2,363,1
100000230,100000230,3,144,1
100000231,100000231,2,292,4
100000232,100000232,3,181,3
100000233,100000233,1,403,2
100000234,100000234,4,526,2
100000235,100000235,1,418,2
100000236,100000236,2,186,2
100000237,100000237,4,327,2
100000238,100000238,4,126,3
100000239,100000239,4,160,4
100000240,100000240,4,373,3
100000241,100000241,1,145,4
100000242,100000242,1,420,1
100000243,100000243,5,313,2
100000244,100000244,2,463,3
100000245,100000245,1,312,1
100000246,100000246,3,516,2
100000247,100000247,1,168,4
100000248,100000248,2,431,4
100000249,100000249,5,454,2
100000250,100000250,3,356,1
100000251,100000251,1,447,2
100000252,100000252,5,204,1
100000253,100000253,5,362,1
100000254,100000254,5,227,3
100000255,100000255,1,237,4
100000256,100000256,2,401,1
100000257,100000257,2,373,2
100000258,100000258,2,484,3
100000259,100000259,4,312,1
100000260,100000260,4,247,4
100000261,100000261,5,169,1
100000262,100000262,2,304,2
100000263,100000263,4,373,2
100000264,100000264,2,111,4
100000265,100000265,3,200,3
100000266,100000266,5,205,2
100000267,100000267,1,226,2
100000268,100000268,5,105,2
100000269,100000269,4,268,1
100000270,100000270,4,122,4
100000271,100000271,2,303,2
100000272,100000272,3,486,2
100000273,100000273,1,470,4
100000274,100000274,5,482,1
100000275,100000275,1,107,4
100000276,100000276,5,331,3
100000277,100000277,3,150,2
100000278,100000278,2,546,2
100000279,100000279,4,427,1
100000280,100000280,5,201,4
100000281,100000281,2,300,4
100000282,100000282,4,255,1
100000283,100000283,5,428,3
100000284,100000284,4,203,3
100000285,100000285,5,419,2
100000286,100000286,3,461,1
100000287,100000287,4,501,3
100000288,100000288,3,164,2
100000289,100000289,1,225,3
100000290,100000290,5,240,1
100000291,100000291,3,119,2
100000292,100000292,3,188,2
100000293,100000293,3,391,1
100000294,100000294,2,140,1
100000295,100000295,2,166,2
100000296,100000296,5,504,2
100000297,100000297,4,174,1
100000298,100000298,1,240,1
100000299,100000299,1,511,1
100000300,100000300,2,278,1
100000301,100000301,5,499,2
100000302,100000302,1,361,1
100000303,100000303,2,519,3
100000304,100000304,1,115,4
100000305,100000305,5,185,2
100000306,100000306,2,134,1
100000307,100000307,2,539,2
100000308,100000308,5,346,4
100000309,100000309,3,480,4
100000310,100000310,3,302,2
100000311,100000311,4,332,1
100000312,100000312,2,317,3
100000313,100000313,5,512,3
100000314,100000314,1,402,2
100000315,100000315,2,528,4
100000316,100000316,3,434,3
100000317,100000317,3,308,3
100000318,100000318,4,423,2
100000319,100000319,3,136,2
100000320,100000320,5,351,1
100000321,100000321,5,293,3
100000322,100000322,3,482,3
100000323,100000323,2,199,2
100000324,100000324,4,225,4
100000325,100000325,5,144,4
100000326,100000326,3,123,1
100000327,100000327,4,334,4
100000328,100000328,2,210,2
100000329,100000329,1,363,3
100000330,100000330,1,241,1
100000331,100000331,1,104,4
100000332,100000332,4,115,2
100000333,100000333,1,242,1
100000334,100000334,4,322,1
100000335,100000335,2,330,2
100000336,100000336,4,339,1
100000337,100000337,2,529,3
100000338,100000338,2,149,2
100000339,100000339,1,274,1
100000340,100000340,5,239,2
100000341,100000341,1,162,1
100000342,100000342,5,118,2
100000343,100000343,5,485,2
100000344,100000344,3,122,2
100000345,100000345,1,373,1
100000346,100000346,3,426,3
100000347,100000347,3,185,4
100000348,100000348,4,321,3
100000349,100000349,5,526,3
100000350,100000350,2,249,1
100000351,100000351,4,118,2
100000352,100000352,1,401,1
100000353,100000353,4,375,1
100000354,100000354,5,242,4
100000355,100000355,2,421,2
100000356,100000356,5,308,3
100000357,100000357,3,265,4
100000358,100000358,4,465,3
100000359,100000359,3,187,1
100000360,100000360,2,158,1
100000361,100000361,2,261,3
100000362,100000362,1,181,2
100000363,100000363,5,109,1
100000364,100000364,5,154,1
100000365,100000365,1,337,1
100000366,100000366,4,212,1
100000367,100000367,1,192,3
100000368,100000368,4,347,1
100000369,100000369,1,193,2
100000370,100000370,4,548,2
100000371,100000371,1,426,3
100000372,100000372,4,360,4
100000373,100000373,3,126,4
100000374,100000374,1,176,2
100000375,100000375,1,414,4
100000376,100000376,5,147,2
100000377,100000377,5,482,4
100000378,100000378,2,341,1
100000379,100000379,3,400,3
100000380,100000380,2,501,1
100000381,100000381,4,112,2
100000382,100000382,1,197,1
100000383,100000383,1,427,2
100000384,100000384,2,451,2
100000385,100000385,3,231,2
100000386,100000386,1,441,1
100000387,100000387,3,178,4
100000388,100000388,1,260,4
100000389,100000389,2,218,2
100000390,100000390,4,428,2
100000391,100000391,3,409,3
100000392,100000392,1,314,3
100000393,100000393,5,163,1
100000394,100000394,2,420,2
100000395,100000395,2,501,3
100000396,100000396,1,464,2
100000397,100000397,4,191,3
100000398,100000398,3,257,4
100000399,100000399,2,386,4
100000400,100000400,1,235,2
100000401,100000401,3,462,1
100000402,100000402,5,430,3
100000403,100000403,3,521,1
100000404,100000404,4,467,3
100000405,100000405,4,464,2
100000406,100000406,4,180,3
100000407,100000407,3,446,2
100000408,100000408,4,411,4
100000409,100000409,5,234,1
100000410,100000410,4,374,1
100000411,100000411,5,458,3
100000412,100000412,5,123,4
100000413,100000413,1,170,3
100000414,100000414,2,371,4
100000415,100000415,1,177,3
100000416,100000416,3,491,4
100000417,100000417,1,308,1
100000418,100000418,3,191,1
100000419,100000419,2,533,3
100000420,100000420,2,332,3
100000421,100000421,2,399,4
100000422,100000422,5,378,2
100000423,100000423,3,254,3
100000424,100000424,1,439,1
100000425,100000425,2,218,3
100000426,100000426,3,490,2
100000427,100000427,5,252,4
100000428,100000428,4,216,3
100000429,100000429,5,181,3
100000430,100000430,5,490,2
100000431,100000431,5,191,2
100000432,100000432,1,405,4
100000433,100000433,1,378,4
100000434,100000434,3,539,4
100000435,100000435,3,503,1
100000436,100000436,1,261,1
100000437,100000437,3,526,1
100000438,100000438,4,142,2
100000439,100000439,2,138,3
100000440,100000440,5,325,2
100000441,100000441,2,373,3
100000442,100000442,3,515,1
100000443,100000443,3,288,3
100000444,100000444,3,176,1
