ReservationID,CusomterID,ReservationDate,EmployeeID,HotelID,CheckIn,CheckOut,NumGuests,IsBusinessTripFlag
100000000,1334,3/12/2023,10061,108,6/10/2023,6/15/2023,5,0
100000001,1347,9/10/2023,10090,108,10/22/2023,10/29/2023,1,1
100000002,1251,11/3/2023,10014,108,1/11/2024,1/21/2024,6,1
100000003,1255,12/29/2023,10080,106,2/9/2024,2/11/2024,3,1
100000004,1403,9/29/2023,10009,105,12/7/2023,12/11/2023,3,0
100000005,1214,5/22/2023,10044,106,7/26/2023,8/4/2023,3,0
100000006,1363,4/28/2023,10053,104,6/24/2023,6/29/2023,4,0
100000007,1348,5/3/2023,10086,106,6/25/2023,7/3/2023,1,0
100000008,1485,11/9/2023,10068,102,12/1/2023,12/4/2023,6,1
100000009,1489,10/9/2023,10098,107,12/8/2023,12/12/2023,4,1
100000010,1013,5/12/2023,10037,101,7/23/2023,7/28/2023,2,1
100000011,1448,7/14/2023,10081,108,8/1/2023,8/4/2023,1,0
100000012,1316,1/16/2023,10050,109,2/26/2023,3/4/2023,1,1
100000013,1449,10/8/2023,10032,109,11/21/2023,12/1/2023,1,1
100000014,1448,4/20/2023,10040,103,4/30/2023,5/5/2023,2,1
100000015,1458,4/12/2023,10015,109,5/4/2023,5/14/2023,2,0
100000016,1100,2/28/2023,10078,106,5/27/2023,6/5/2023,3,0
100000017,1033,8/22/2023,10046,108,11/15/2023,11/21/2023,5,1
100000018,1006,1/14/2023,10013,101,2/4/2023,2/13/2023,2,0
100000019,1457,1/7/2023,10002,101,3/21/2023,3/31/2023,3,1
100000020,1030,7/24/2023,10088,102,9/7/2023,9/15/2023,6,0
100000021,1019,7/19/2023,10078,104,8/20/2023,8/22/2023,1,0
100000022,1015,6/11/2023,10049,108,6/20/2023,6/26/2023,5,0
100000023,1388,5/23/2023,10097,106,7/15/2023,7/25/2023,5,1
100000024,1244,5/24/2023,10050,106,8/14/2023,8/19/2023,3,0
100000025,1002,12/17/2023,10092,106,2/5/2024,2/6/2024,4,0
100000026,1197,10/26/2023,10024,108,1/21/2024,1/30/2024,3,0
100000027,1195,5/4/2023,10001,100,7/22/2023,8/1/2023,3,1
100000028,1253,5/12/2023,10091,103,7/23/2023,8/2/2023,4,0
100000029,1475,12/7/2023,10059,101,12/15/2023,12/24/2023,1,0
100000030,1102,5/14/2023,10057,106,7/30/2023,8/2/2023,3,1
100000031,1228,12/21/2023,10022,105,1/28/2024,1/31/2024,1,1
100000032,1486,3/13/2023,10038,105,6/10/2023,6/13/2023,3,1
100000033,1105,12/18/2023,10017,103,2/14/2024,2/18/2024,6,0
100000034,1219,11/4/2023,10065,102,11/12/2023,11/17/2023,6,0
100000035,1488,4/6/2023,10037,106,4/14/2023,4/17/2023,3,1
100000036,1266,9/20/2023,10018,106,11/11/2023,11/19/2023,3,0
100000037,1125,4/8/2023,10026,106,5/17/2023,5/23/2023,5,1
100000038,1330,9/28/2023,10059,100,12/6/2023,12/13/2023,3,0
100000039,1231,10/1/2023,10056,100,12/18/2023,12/22/2023,2,1
100000040,1429,6/2/2023,10022,108,6/26/2023,6/29/2023,4,0
100000041,1104,12/22/2023,10011,104,1/10/2024,1/17/2024,1,0
